l,lgramSize,criteria_id,text_id,h0,h1,fp,fn,threshold,j
10,1,c10sy,plain,8107,1893,0.1893,0,0,0
10,1,c12sy,plain,8107,1893,0.1893,0,0,0
10,1,c13sy,plain,8107,1893,0.1893,0,0,0
10,1,c30sy,plain,0,10000,1,0,0.5,0
10,1,c51sy,plain,10000,0,0,0,6,3
10,2,c10bi,plain,9985,15,0.0015,0,0,0
10,2,c11bi,plain,10000,0,0,0,2,0
10,2,c12bi,plain,9985,15,0.0015,0,0,0
10,2,c13bi,plain,9985,15,0.0015,0,0,0
10,2,c30bi,plain,9995,5,0.0005,0,3,0
10,1,c11sy,plain,9991,9,0.0009,0,3,0
100,1,c10sy,plain,1190,8810,0.881,0,0,0
100,1,c11sy,plain,10000,0,0,0,18,0
100,1,c12sy,plain,1190,8810,0.881,0,0,0
100,1,c13sy,plain,5995,4005,0.4005,0,0,0
100,1,c30sy,plain,8190,1810,0.181,0,0.35,0
100,1,c51sy,plain,10000,0,0,0,4,10
100,2,c10bi,plain,9840,160,0.016,0,0,0
100,2,c11bi,plain,10000,0,0,0,17,0
100,2,c12bi,plain,9840,160,0.016,0,0,0
100,2,c13bi,plain,9840,160,0.016,0,0,0
100,2,c30bi,plain,0,10000,1,0,0.55,0
100,2,c51bi,plain,10000,0,0,0,25,20
1000,1,c10sy,plain,0,10000,1,0,0,0
1000,1,c11sy,plain,10000,0,0,0,120,0
10,2,c51bi,plain,10000,0,0,0,10,5
1000,1,c12sy,plain,842,9158,0.9158,0,0,0
1000,1,c13sy,plain,4697,5303,0.5303,0,0,0
1000,1,c30sy,plain,9973,27,0.0027,0,0.15,0
1000,1,c51sy,plain,10000,0,0,0,8,20
1000,2,c10bi,plain,8329,1671,0.1671,0,0,0
1000,2,c11bi,plain,10000,0,0,0,119,0
1000,2,c12bi,plain,8329,1671,0.1671,0,0,0
1000,2,c30bi,plain,121,9879,0.9879,0,0.22,0
1000,2,c13bi,plain,8329,1671,0.1671,0,0,0
