text_id,l,abg_bits_per_byte,threshold
plain,10,14.392319999997312,10
plain,100,6.87004000000005,6.97
plain,1000,4.641889600000039,4.9
plain,10000,4.06974054054054,4.42
vig1,10,14.392319999997312,10
vig1,100,6.867336000000059,6.97
vig1,1000,4.641837600000031,4.9
vig1,10000,4.069777297297298,4.42
vig5,10,14.396799999997304,10
vig5,100,7.081880000000083,6.97
vig5,1000,5.16088320000007,4.9
vig5,10000,4.820099459459454,4.42
vig10,10,14.399519999997297,10
vig10,100,7.096680000000054,6.97
vig10,1000,5.229949600000156,4.9
vig10,10000,5.002181621621621,4.42
affine_sym,10,14.098159999997648,10
affine_sym,100,6.108047999999982,6.97
affine_sym,1000,4.040040799999988,4.9
affine_sym,10000,3.565969729729728,4.42
affine_bi,10,14.080559999997739,10
affine_bi,100,6.421352000000167,6.97
affine_bi,1000,4.427964800000014,4.9
affine_bi,10000,4.086313513513515,4.42
random,10,14.399199999997299,10
random,100,7.100328000000115,6.97
random,1000,5.260682400000118,4.9
random,10000,5.217935135135135,4.42
