l,lgramSize,criteria_id,text_id,h0,h1,fp,fn
10,1,c10sy,plain,27,9973,0,0
100,1,c10sy,plain,0,10000,0,0
10,2,c10bi,plain,10000,0,0,0
10,1,c11sy,plain,1813,8187,0,0
10,2,c11bi,plain,10000,0,0,0
100,1,c11sy,plain,0,10000,0,0
10,1,c30sy,plain,0,10000,0,0
10,2,c12bi,plain,10000,0,0,0
10,2,c13bi,plain,10000,0,0,0
10,2,c30bi,plain,0,10000,0,0
10000,1,c11sy,plain,0,247,0,0
10,1,c12sy,plain,10000,0,0,0
10,1,c13sy,plain,10000,0,0,0
10,1,c51sy,plain,9688,312,0,0
100,2,c10bi,plain,10000,0,0,0
10000,1,c51sy,plain,247,0,0,0
10000,1,c10sy,plain,0,247,0,0
100,1,c51sy,plain,10000,0,0,0
10,1,c10sy,vig1,1,9999,0,0
1000,1,c10sy,plain,0,10000,0,0
100,1,c10sy,vig1,0,10000,0,0
10,1,c11sy,vig1,162,9838,0,0
10,2,c11bi,vig1,9999,1,0,0
10,2,c10bi,vig1,9294,706,0,0
100,1,c30sy,plain,442,9558,0,0
1000,1,c11sy,plain,0,10000,0,0
10,2,c13bi,vig1,9294,706,0,0
10,1,c13sy,vig1,10000,0,0,0
100,1,c11sy,vig1,0,10000,0,0
100,1,c12sy,plain,10000,0,0,0
10,2,c30bi,vig1,0,10000,0,0
10000,1,c10sy,vig1,0,247,0,0
100,2,c11bi,plain,10000,0,0,0
10,1,c30sy,vig1,0,10000,0,0
10000,1,c51sy,vig1,247,0,0,0
10,2,c12bi,vig1,9294,706,0,0
10,1,c12sy,vig1,10000,0,0,0
10000,1,c11sy,vig1,0,247,0,0
1000,1,c10sy,vig1,0,10000,0,0
100,1,c13sy,plain,10000,0,0,0
10000,2,c10bi,vig1,21,226,0,0
10,1,c51sy,vig1,6170,3830,0,0
100,1,c11sy,vig5,0,10000,0,0
10000,2,c13bi,plain,247,0,0,0
10,2,c10bi,vig5,9201,799,0,0
100,2,c10bi,vig1,5098,4902,0,0
10000,2,c11bi,vig1,27,220,0,0
10,1,c11sy,vig5,66,9934,0,0
10000,2,c11bi,plain,247,0,0,0
100,1,c30sy,vig1,442,9558,0,0
1000,1,c11sy,vig1,0,10000,0,0
1000,1,c51sy,plain,10000,0,0,0
10,1,c30sy,vig5,0,10000,0,0
100,2,c30bi,plain,0,10000,0,0
10000,1,c30sy,plain,247,0,0,0
100,2,c11bi,vig1,9633,367,0,0
10,1,c10sy,vig5,1,9999,0,0
10000,2,c12bi,plain,247,0,0,0
10,2,c30bi,vig5,0,10000,0,0
10,2,c13bi,vig5,9201,799,0,0
10000,1,c12sy,plain,247,0,0,0
10,2,c12bi,vig5,9201,799,0,0
10,1,c51sy,vig5,6402,3598,0,0
10000,1,c10sy,vig5,0,247,0,0
100,1,c10sy,vig5,0,10000,0,0
100,1,c51sy,vig1,9976,24,0,0
10,2,c11bi,vig5,9999,1,0,0
100,2,c13bi,vig5,4544,5456,0,0
10,1,c12sy,vig5,10000,0,0,0
10000,2,c10bi,plain,247,0,0,0
10,1,c13sy,vig5,10000,0,0,0
100,2,c13bi,plain,10000,0,0,0
10000,1,c11sy,vig5,0,247,0,0
10000,1,c51sy,vig5,247,0,0,0
10000,2,c10bi,vig5,0,247,0,0
100,1,c12sy,vig1,10000,0,0,0
100,2,c10bi,vig5,4544,5456,0,0
1000,1,c10sy,vig5,0,10000,0,0
1000,1,c11sy,vig5,0,10000,0,0
10000,2,c30bi,plain,168,79,0,0
10000,1,c11sy,vig10,0,247,0,0
10000,1,c10sy,vig10,0,247,0,0
10,2,c10bi,vig10,9281,719,0,0
10000,2,c11bi,vig5,0,247,0,0
100,1,c10sy,vig10,0,10000,0,0
10000,1,c51sy,vig10,247,0,0,0
100,1,c11sy,vig10,0,10000,0,0
10,2,c11bi,vig10,10000,0,0,0
10,1,c11sy,vig10,46,9954,0,0
100,2,c11bi,vig5,9603,397,0,0
10000,2,c10bi,vig10,0,247,0,0
10,1,c10sy,vig10,0,10000,0,0
10000,2,c51bi,plain,247,0,0,0
10000,2,c13bi,vig1,21,226,0,0
10,2,c30bi,vig10,0,10000,0,0
10,1,c30sy,vig10,0,10000,0,0
100,1,c13sy,vig1,10000,0,0,0
100,2,c13bi,vig1,5098,4902,0,0
10000,2,c11bi,vig10,0,247,0,0
10,2,c13bi,vig10,9281,719,0,0
10000,2,c12bi,vig1,21,226,0,0
100,1,c30sy,vig5,6014,3986,0,0
10000,1,c30sy,vig1,247,0,0,0
10000,1,c13sy,plain,247,0,0,0
10,2,c12bi,vig10,9281,719,0,0
1000,1,c10sy,vig10,0,10000,0,0
10000,2,c51bi,vig1,215,32,0,0
